"id";"name";"latitude";"longitude";"operating_schedule";"landline_no";"email";"created_at";"updated_at"
1;"Glyburide Hospital";16.93925898;121.769045;"";"(196) 1016018";"hbrisset0@stanford.edu";"2021-04-16 08:00:00";"2021-08-13 08:00:00"
2;"Escitalopram Hospital";16.93899214;121.7705041;"";"(531) 3609950";"ldowthwaite1@over-blog.com";"2021-08-28 08:00:00";"2021-11-24 08:00:00"
3;"Aspirin Hospital";16.93872529;121.7728859;"";"(711) 5008172";"jivoshin2@pbs.org";"2022-01-27 08:00:00";"2021-05-14 08:00:00"
4;"Honeydew Melon Hospital";16.93745262;121.76853;"";"(133) 9888645";"alocksley3@blogtalkradio.com";"2021-11-03 08:00:00";"2021-09-09 08:00:00"
5;"Pepper Tree Hospital";16.93761684;121.7735511;"";"(736) 9879289";"gwoan4@amazon.co.jp";"2022-03-17 08:00:00";"2021-09-04 08:00:00"
6;"Orange Blossom Antibacterial Foaming Hand Wash Hospital";16.93620048;121.7681438;"";"(140) 3596229";"wrome5@epa.gov";"2022-02-07 08:00:00";"2021-08-12 08:00:00"
7;"Aqua Maris Strong Hospital";16.93550503;121.7701734;"";"(807) 2120779";"ldelacey6@posterous.com";"2021-11-14 08:00:00";"2021-11-21 08:00:00"
8;"Petroleum Hospital";16.93568527;121.770613;"";"(252) 3224741";"lespinet7@statcounter.com";"2021-07-09 08:00:00";"2021-07-20 08:00:00"
9;"Energize RxS Hospital";16.9361459;121.7703513;"";"(573) 3294087";"blaborde8@si.edu";"2021-04-14 08:00:00";"2022-01-14 08:00:00"
10;"Tork Advanced Antimicrobial Hospital";16.93470394;121.7702152;"";"(454) 8373457";"cgallamore9@umich.edu";"2021-07-22 08:00:00";"2021-05-13 08:00:00"
11;"Berberis e fruct. 10% Special Order Hospital";16.93300162;121.7705921;"";"(329) 5293527";"askeina@meetup.com";"2022-03-22 08:00:00";"2021-09-20 08:00:00"
12;"Immune Support Hospital";16.93530476;121.7719005;"";"(338) 8228932";"ebesteb@bandcamp.com";"2021-11-04 08:00:00";"2021-12-18 08:00:00"
